LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value
AUS	GFCF	TOT	AGRWTH	A	1990	-9.479726
AUS	GFCF	TOT	AGRWTH	A	1991	-3.997176
AUS	GFCF	TOT	AGRWTH	A	1992	6.634968
AUS	GFCF	TOT	AGRWTH	A	1993	5.793301
AUS	GFCF	TOT	AGRWTH	A	1994	11.02505
AUS	GFCF	TOT	AGRWTH	A	1995	2.73705
AUS	GFCF	TOT	AGRWTH	A	1996	6.637694
AUS	GFCF	TOT	AGRWTH	A	1997	9.737434
AUS	GFCF	TOT	AGRWTH	A	1998	4.439598
AUS	GFCF	TOT	AGRWTH	A	1999	8.093842
AUS	GFCF	TOT	AGRWTH	A	2000	-7.943117
AUS	GFCF	TOT	AGRWTH	A	2001	9.124495
AUS	GFCF	TOT	AGRWTH	A	2002	12.567477
AUS	GFCF	TOT	AGRWTH	A	2003	8.735606
AUS	GFCF	TOT	AGRWTH	A	2004	6.094502
AUS	GFCF	TOT	AGRWTH	A	2005	8.273656
AUS	GFCF	TOT	AGRWTH	A	2006	4.519719
AUS	GFCF	TOT	AGRWTH	A	2007	8.761994
AUS	GFCF	TOT	AGRWTH	A	2008	1.524044
AUS	GFCF	TOT	AGRWTH	A	2009	1.7479
AUS	GFCF	TOT	AGRWTH	A	2010	3.599735
AUS	GFCF	TOT	AGRWTH	A	2011	11.536487
AUS	GFCF	TOT	AGRWTH	A	2012	3.003741
AUS	GFCF	TOT	AGRWTH	A	2013	-1.761188
AUS	GFCF	TOT	AGRWTH	A	2014	-3.163672
AUS	GFCF	TOT	AGRWTH	A	2015	-3.43695
AUS	GFCF	TOT	AGRWTH	A	2016	-0.222972
AUS	GFCF	TOT	AGRWTH	A	2017	4.370449
AUT	GFCF	TOT	AGRWTH	A	1990	5.492337
AUT	GFCF	TOT	AGRWTH	A	1991	8.319668
AUT	GFCF	TOT	AGRWTH	A	1992	0.136945
AUT	GFCF	TOT	AGRWTH	A	1993	-1.22393
AUT	GFCF	TOT	AGRWTH	A	1994	5.145812
AUT	GFCF	TOT	AGRWTH	A	1995	0.191927
AUT	GFCF	TOT	AGRWTH	A	1996	4.375736
AUT	GFCF	TOT	AGRWTH	A	1997	0.740085
AUT	GFCF	TOT	AGRWTH	A	1998	3.429916
AUT	GFCF	TOT	AGRWTH	A	1999	1.225723
AUT	GFCF	TOT	AGRWTH	A	2000	5.828588
AUT	GFCF	TOT	AGRWTH	A	2001	-1.110558
AUT	GFCF	TOT	AGRWTH	A	2002	-2.865714
AUT	GFCF	TOT	AGRWTH	A	2003	3.842742
AUT	GFCF	TOT	AGRWTH	A	2004	0.940609
AUT	GFCF	TOT	AGRWTH	A	2005	0.252779
AUT	GFCF	TOT	AGRWTH	A	2006	1.150714
AUT	GFCF	TOT	AGRWTH	A	2007	4.644313
AUT	GFCF	TOT	AGRWTH	A	2008	1.606895
AUT	GFCF	TOT	AGRWTH	A	2009	-7.177639
AUT	GFCF	TOT	AGRWTH	A	2010	-2.586536
AUT	GFCF	TOT	AGRWTH	A	2011	6.64983
AUT	GFCF	TOT	AGRWTH	A	2012	0.905907
AUT	GFCF	TOT	AGRWTH	A	2013	1.564088
AUT	GFCF	TOT	AGRWTH	A	2014	-0.402953
AUT	GFCF	TOT	AGRWTH	A	2015	2.301522
AUT	GFCF	TOT	AGRWTH	A	2016	4.063143
AUT	GFCF	TOT	AGRWTH	A	2017	3.951465
AUT	GFCF	TOT	AGRWTH	A	2018	3.931161
BEL	GFCF	TOT	AGRWTH	A	1990	8.580777
BEL	GFCF	TOT	AGRWTH	A	1991	-4.143916
BEL	GFCF	TOT	AGRWTH	A	1992	1.084901
BEL	GFCF	TOT	AGRWTH	A	1993	-2.518297
BEL	GFCF	TOT	AGRWTH	A	1994	0.383785
BEL	GFCF	TOT	AGRWTH	A	1995	3.39307
BEL	GFCF	TOT	AGRWTH	A	1996	0.832255
BEL	GFCF	TOT	AGRWTH	A	1997	6.639981
BEL	GFCF	TOT	AGRWTH	A	1998	2.455451
BEL	GFCF	TOT	AGRWTH	A	1999	3.772121
BEL	GFCF	TOT	AGRWTH	A	2000	4.363969
BEL	GFCF	TOT	AGRWTH	A	2001	1.629749
BEL	GFCF	TOT	AGRWTH	A	2002	-4.313465
BEL	GFCF	TOT	AGRWTH	A	2003	-0.403704
BEL	GFCF	TOT	AGRWTH	A	2004	8.882102
BEL	GFCF	TOT	AGRWTH	A	2005	6.062556
